"Name","Aura","CL","Slot","Price","Weight","Description","Requirements","Cost","Group","Source","AL","Int","Wis","Cha","Ego","Communication","Senses","Powers","MagicItems","Destruction","MinorArtifactFlag","MajorArtifactFlag","Abjuration","Conjuration","Divination","Enchantment","Evocation","Necromancy","Transmutation","AuraStrength","WeightValue","PriceValue","CostValue","Languages","BaseItem","LinkText","id"
"Figurine of Wondrous Power (ivory goats)","Moderate transmutation",11,"none","21,000 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Ivory Goats: These figurines come in threes. Each goat of this trio looks slightly different from the others, and each has a different function: • The Goat of Traveling: This statuette provides a speedy and enduring mount equal to that of a heavy horse in every way except appearance. The goat can travel for a maximum of 1 day each week-continuously or in any combination of periods totaling 24 hours. At this point, or when the command word is uttered, it returns to its statuette form for no less than 1 day before it can again be used. • The Goat of Travail: This statuette becomes an enormous creature, larger than a bull, with the statistics of a nightmare (see the Pathfinder RPG Bestiary) except for the addition of a pair of wicked horns of exceptional size (damage 1d8+4 for each horn). If it is charging to attack, it may only use its horns (but add 6 points of damage to each successful attack in that round). It can be called to life just once per month for up to 12 hours at a time. • The Goat of Terror: When called upon with the proper command word, this statuette becomes a destrier-like mount with the statistics of a light horse. However, its rider can employ the goat's horns as weapons (one horn as a +3 heavy lance, the other as a +5 longsword). When ridden in an attack against an opponent, the goat of terror radiates fear as the spell in a 30-foot radius (Will DC 16 partial). It can be used once every 2 weeks for up to 3 hours per use.","Craft Wondrous Item, animate objects","10,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,21000,10500,,,"Figurine of Wondrous Power (ivory goats)",544
"Figurine of Wondrous Power (marble elephant)","Moderate transmutation",11,"none","17,000 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Marble Elephant: This is the largest of the figurines, the statuette being about the size of a human hand. Upon utterance of the command word, a marble elephant grows to the size and specifications of a true elephant. The animal created from the statuette is fully obedient to the figurine's owner, serving as a beast of burden, a mount, or a combatant. The statuette can be used four times per month for up to 24 hours at a time.","Craft Wondrous Item, animate objects","8,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,17000,8500,,,"Figurine of Wondrous Power (marble elephant)",545
"Figurine of Wondrous Power (obsidian steed)","Strong conjuration and transmutation",15,"none","28,500 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Obsidian Steed: This figurine appears to be a small, shapeless lump of black stone. Only careful inspection reveals that it vaguely resembles some form of quadruped. On command, the nearformless piece of obsidian becomes a fantastic mount. Treat it as a heavy horse with the following additional powers usable once per round at will: overland flight, plane shift, and ethereal jaunt. The steed allows itself to be ridden, but if the rider is of good alignment, the steed is 10% likely per use to carry him to the lower planes and then return to its statuette form. The statuette can be used once per week for one continuous period of up to 24 hours. Note that when an obsidian steed becomes ethereal or plane shifts, its rider and his gear follow suit. Thus, the user can travel to other planes via this means.","Craft Wondrous Item, animate objects, etherealness, fly, plane shift","14,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,1,"none",1,28500,14250,,,"Figurine of Wondrous Power (obsidian steed)",546
"Figurine of Wondrous Power (onyx dog)","Moderate transmutation",11,"none","15,500 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Onyx Dog: When commanded, this statuette changes into a creature with the same properties as a riding dog except that it is endowed with an Intelligence of 8, can communicate in Common, and has exceptional olfactory and visual abilities. It has the scent ability and adds +4 on its Perception checks. It has 60- foot darkvision, and it can see invisibility. An onyx dog can be used once per week for up to 6 hours. It obeys only its owner.","Craft Wondrous Item, animate objects","7,750 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,15500,7750,,,"Figurine of Wondrous Power (onyx dog)",547
"Figurine of Wondrous Power (serpentine owl)","Moderate transmutation",11,"none","9,100 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Serpentine Owl: This figurine becomes either a normal-sized horned owl or a giant owl (use the stats for the giant eagle) according to the command word used. The transformation can take place once per day, with a maximum duration of 8 continuous hours. However, after three transformations into giant owl form, the statuette loses all its magical properties. The owl communicates with its owner by telepathic means, informing her of all it sees and hears.","Craft Wondrous Item, animate objects","4,450 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,9100,4450,,,"Figurine of Wondrous Power (serpentine owl)",548
"Figurine of Wondrous Power (silver raven)","Moderate enchantment and transmutation",6,"none","3,800 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Silver Raven: This silver figurine turns into a raven on command (but it retains its metallic consistency, which gives it hardness 10). Another command sends it off into the air, bearing a message just like a creature affected by an animal messenger spell. If not commanded to carry a message, the raven obeys the commands of its owner, although it has no special powers or telepathic abilities. It can maintain its nonfigurine status for only 24 hours per week, but the duration need not be continuous.","Craft Wondrous Item, animal messenger, animate objects","1,900 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,1,0,0,1,"none",1,3800,1900,,,"Figurine of Wondrous Power (silver raven)",549
"Flask of Curses","moderate conjuration",7,"none",,"2 lbs.","This item looks like an ordinary beaker, bottle, container, decanter, flask, or jug. It may contain a liquid, or it may emit smoke. When the flask is first unstoppered, all within 30 feet must make a DC 17 Will save or be cursed, taking a -2 penalty on attack rolls, saving throws, and skill checks until a remove curse spell is cast upon them.",,,"Cursed","PFRPG Core",,,,,,,,,"decanter of endless water, efreeti bottle, eversmoking bottle, iron flask",,0,0,0,1,0,0,0,0,0,"moderate",2,0,0,,,"Flask of Curses",286
"Gauntlets of Fumbling","moderate transmutation",7,"hands",,"2 lbs.","These gauntlets perform according to their appearance until the wearer finds herself under attack or in a life-and-death situation. At that time, the curse is activated. The wearer becomes fumble-fingered, with a 50% chance each round of dropping anything held in either hand. The gauntlets also lower Dexterity by 2 points. Once the curse is activated, the gloves can be removed only by means of a remove curse spell, a wish, or a miracle.",,,"Cursed","PFRPG Core",,,,,,,,,"gauntlet of rust, gloves of arrow snatching, glove of storing, gloves of swimming and climbing",,0,0,0,0,0,0,0,0,1,"moderate",2,0,0,,,"Gauntlets of Fumbling",287
"Golem Manual clay","Moderate conjuration, divination, enchantment, and transmutation",11,"none","12,000 gp","5 lbs.","A golem manual contains information, incantations, and magical power that help a character to craft a golem (see the Pathfinder RPG Bestiary). The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem. The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated. Clay Golem Manual: The book contains animate objects, bless, commune, prayer, and resurrection. The reader may treat her caster level as two levels higher than normal for the purpose of crafting a clay golem.","Craft Construct, creator must be caster level 11th, animate objects, commune, prayer, resurrection","6,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,1,1,0,0,1,"moderate",5,12000,6000,,,"Golem Manual clay",452
"Golem Manual flesh","Moderate enchantment, necromancy [evil], and transmutation",8,"none","8,000 gp","5 lbs.","A golem manual contains information, incantations, and magical power that help a character to craft a golem (see the Pathfinder RPG Bestiary). The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem. The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated. Flesh Golem Manual: The book contains animate dead, bull's strength, geas/quest, and limited wish. The reader may treat her caster level as one level higher than normal for the purpose of crafting a flesh golem.","Craft Construct, creator must be caster level 8th, animate dead, bull's strength, geas/quest, limited wish","4,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,1,0,1,1,"moderate",5,8000,4000,,,"Golem Manual flesh",453
"Golem Manual iron","Strong conjuration, enchantment, and transmutation",16,"none","35,000 gp","5 lbs.","A golem manual contains information, incantations, and magical power that help a character to craft a golem (see the Pathfinder RPG Bestiary). The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem. The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated. Iron Golem Manual: The book contains cloudkill, geas/quest, limited wish, and polymorph any object. The reader may treat her caster level as four levels higher than normal for the purpose of crafting a iron golem.","Craft Construct, creator must be caster level 16th, cloudkill, geas/quest, limited wish, polymorph any object","17,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,1,0,0,1,"strong",5,35000,17500,,,"Golem Manual iron",454
"Golem Manual stone","Strong abjuration and enchantment",14,"none","22,000 gp","5 lbs.","A golem manual contains information, incantations, and magical power that help a character to craft a golem (see the Pathfinder RPG Bestiary). The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem. The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated. Stone Golem Manual: The book contains geas/quest, limited wish, polymorph any object, and slow. The reader may treat her caster level as three levels higher than normal for the purpose of crafting a stone golem.","Craft Construct, creator must be caster level 14th, antimagic field, geas/ quest, limited wish, symbol of stunning","11,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,1,0,0,1,0,0,0,"strong",5,22000,11000,,,"Golem Manual stone",455
"Golem Manual stone guardian","Strong abjuration and enchantment",14,"none","44,000 gp","5 lbs.","A golem manual contains information, incantations, and magical power that help a character to craft a golem (see the Pathfinder RPG Bestiary). The instructions therein grant a +5 competence bonus on skill checks made to craft the golem's body. Each manual also holds the prerequisite spells needed for a specific golem (although these spells can only be used to create a golem and cannot be copied), effectively granting the builder use of the Craft Construct feat during the construction of the golem, and an increase to her caster level for the purpose of crafting a golem. The spells included in a golem manual require a spell trigger activation and can be activated only to assist in the construction of a golem. The cost of the book does not include the cost of constructing the golem's body. Once the golem is finished, the writing in the manual fades and the book is consumed in flames. When the book's ashes are sprinkled upon the golem, it becomes fully animated. Stone Golem Guardian Manual: The book contains geas/quest, imbue with spell-like ability, limited wish, polymorph any object, shield other, and slow. The reader may treat her caster level as three levels higher than normal for the purpose of crafting a stone golem guardian.","Craft Construct, creator must be caster level 14th, antimagic field, geas/quest, imbue with spell-like ability, limited wish, polymorph any object, shield other, slow","22,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,1,0,0,1,0,0,0,"strong",5,44000,22000,,,"Golem Manual stone guardian",456
"Helm of Opposite Alignment","strong transmutation",12,"head",,"3 lbs.","When placed upon the head, this item's curse immediately takes effect (Will DC 15 negates). On a failed save, the alignment of the wearer is radically altered to an alignment as different as possible from the former alignment-good to evil, chaotic to lawful, neutral to some extreme commitment (LE, LG, CE, or CG). Alteration in alignment is mental as well as moral, and the individual changed by the magic thoroughly enjoys his new outlook. A character who succeeds on his save can continue to wear the helmet without suffering the effect of the curse, but if he takes it off and later puts it on again, another save is required. Only a wish or a miracle can restore a character's former alignment, and the affected individual does not make any attempt to return to the former alignment. In fact, he views the prospect with horror and avoids it in any way possible. If a character of a class with an alignment requirement is affected, an atonement spell is needed as well if the curse is to be obliterated. When a helm of opposite alignment has functioned once, it loses its magical properties.",,,"Cursed","PFRPG Core",,,,,,,,,"hat of disguise, helm of comprehend languages and read magic, helm of telepathy",,0,0,0,0,0,0,0,0,1,"strong",3,0,0,,,"Helm of Opposite Alignment",288
"incandescent blue sphere ioun stone","strong varied",12,"none","8,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. +2 enchantment bonus to Wisdom.","Craft Wondrous Item, creator must be 12th level","4,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,8000,4000,,,"Ioun Stone; incandescent blue sphere",427
"Incense of Obsession","moderate enchantment",6,"none",,0,"These blocks of incense appear to be incense of meditation. If meditation is conducted while incense of obsession is burning, the user becomes totally confident that her spell ability is superior due to the magic incense. She uses her spells at every opportunity, even when not needed or useless. The user remains obsessed with her abilities and spells until all have been used or cast, or until 24 hours have elapsed.",,,"Cursed","PFRPG Core",,,,,,,,,"incense of meditation",,0,0,0,0,0,1,0,0,0,"moderate",0,0,0,,,"Incense of Obsession",289
"iridescent spindle ioun stone","strong varied",12,"none","18,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. Sustains creature without air.","Craft Wondrous Item, creator must be 12th level","9,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,18000,9000,,,"Ioun Stone; iridescent spindle",433
"lavender and green ellipsoid ioun stone","strong varied",12,"none","40,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. Absorbs spells of 8th level or lower. After absorbing 50 spell levels, the stone burns out and turns dull gray, forever useless. Lavender-and-green stone works like a rod of absorption, but absorbing a spell requires a readied action, and these stones cannot be used to empower spells.","Craft Wondrous Item, creator must be 12th level","20,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,40000,20000,,,"Ioun Stone; lavender and green ellipsoid",439
"Lens of Detection","moderate divination",9,"none","3,500 gp","1 lb.","This circular prism lets its user detect minute details, granting a +5 competence bonus on Perception checks. It also aids in tracking, adding a +5 competence bonus on Survival checks when tracking. The lens is about 6 inches in diameter and set in a frame with a handle.","Craft Wondrous Item, true seeing","1,750 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,1,0,0,0,0,"moderate",1,3500,1750,,,"Lens of Detection",214
"Mace of Blood","moderate abjuration",8,"none",,"8 lbs.","This +3 heavy mace must be coated in blood every day, or else its bonus fades away until the mace is coated again. The character using this mace must make a DC 13 Will save every day it is within his possession or become chaotic evil.",,,"Cursed","PFRPG Core",,,,,,,,,"+3 heavy mace",,0,0,1,0,0,0,0,0,0,"moderate",8,0,0,,,"Mace of Blood",290
"Manual of Bodily Health +1","strong evocation (if miracle is used)",17,"none","27,500 gp","5 lbs.","This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","26,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,27500,26250,,,"Manual of Bodily Health +1",457
"Manual of Bodily Health +2","strong evocation (if miracle is used)",17,"none","55,000 gp","5 lbs.","This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","52,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,55000,52500,,,"Manual of Bodily Health +2",458
"Manual of Bodily Health +3","strong evocation (if miracle is used)",17,"none","82,500 gp","5 lbs.","This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","78,750 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,82500,78750,,,"Manual of Bodily Health +3",459
"Manual of Bodily Health +4","strong evocation (if miracle is used)",17,"none","110,000 gp","5 lbs.","This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","105,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,110000,105500,,,"Manual of Bodily Health +4",460
"Manual of Bodily Health +5","strong evocation (if miracle is used)",17,"none","137,500 gp","5 lbs.","This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","131,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,137500,131250,,,"Manual of Bodily Health +5",461
"Manual of Gainful Exercise +1","strong evocation (if miracle is used)",17,"none","27,500 gp","5 lbs.","This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","26,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,27500,26250,,,"Manual of Gainful Exercise +1",462
"Manual of Gainful Exercise +2","strong evocation (if miracle is used)",17,"none","55,000 gp","5 lbs.","This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","52,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,55000,52500,,,"Manual of Gainful Exercise +2",463
"Manual of Gainful Exercise +3","strong evocation (if miracle is used)",17,"none","82,500 gp","5 lbs.","This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","78,750 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,82500,78750,,,"Manual of Gainful Exercise +3",464
"Manual of Gainful Exercise +4","strong evocation (if miracle is used)",17,"none","110,000 gp","5 lbs.","This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","105,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,110000,105000,,,"Manual of Gainful Exercise +4",465
"Manual of Gainful Exercise +5","strong evocation (if miracle is used)",17,"none","137,500 gp","5 lbs.","This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","131,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,137500,131250,,,"Manual of Gainful Exercise +5",466
"Manual of Quickness of Action +1","strong evocation (if miracle is used)",17,"none","27,500 gp","5 lbs.","This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","26,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,27500,26250,,,"Manual of Quickness of Action +1",467
"Manual of Quickness of Action +2","strong evocation (if miracle is used)",17,"none","55,000 gp","5 lbs.","This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","52,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,55000,52500,,,"Manual of Quickness of Action +2",468
"Manual of Quickness of Action +3","strong evocation (if miracle is used)",17,"none","82,500 gp","5 lbs.","This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","78,750 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,82500,78750,,,"Manual of Quickness of Action +3",469
"Manual of Quickness of Action +4","strong evocation (if miracle is used)",17,"none","110,000 gp","5 lbs.","This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","105,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,110000,105000,,,"Manual of Quickness of Action +4",470
"Manual of Quickness of Action +5","strong evocation (if miracle is used)",17,"none","137,500 gp","5 lbs.","This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","131,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"strong",5,137500,131250,,,"Manual of Quickness of Action +5",471
"Medallion of Thought Projection","moderate divination",7,"neck",,0,"This device seems like a medallion of thoughts, even down to the range at which it functions, except that the thoughts overheard are muffled and distorted, requiring a DC 15 Will save to sort them out. However, while the user thinks she is picking up the thoughts of others, all she is really hearing are figments created by the medallion itself. These illusory thoughts always seem plausible and thus can seriously mislead any who rely upon them. What's worse, unknown to her, the cursed medallion actually broadcasts her thoughts to creatures in the path of the beam, thus alerting them to her presence.",,,"Cursed","PFRPG Core",,,,,,,,,"medallion of thoughts",,0,0,0,0,1,0,0,0,0,"moderate",0,0,0,,,"Medallion of Thought Projection",291
"Mithral Heavy Shield","no aura (nonmagical)",0,"shield","1,020 gp","5 lbs.","This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",5,1020,0,,,"Mithral Heavy Shield",312
"Mithral Shirt","no aura (nonmagical)",0,"armor","1,100 gp","10 lbs.","This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",10,1100,0,,,"Mithral Shirt",309
